romanian,english
noi,we
suntem,we are
ei,they (masculine or mixed)
ele,they (feminine)
femei,women
bărbați,men
băieți,boys
fete,girls
voi,you (plural/formal)
voi sunteți,you are (plural/formal)
a citi,to read
a scrie,to write
a avea,to have
eu am,I have
eu citesc,I read
eu scriu,I write
tu citești,you read
tu scri,you write
citește,he/she/it reads
scrie,he/she/it writes
are,he/she/it has
noi bem,we drink
noi citim,we read
noi scriem,we write
voi beți,you drink (plural/formal)
voi citiți,you read (plural/formal)
voi scrieți,you write (plural/formal)
cartea,the book
ziarul,the newspaper
la,to the
în,in
